Color,Name,Hexadecimal in their website depiction[b],Years in production[2],Notes
,Burnt Umber,,1903–1944,
,Apricot,#FDD5B1[1],1958–present,
,Almond,#EED9C4[1],1998–present,
,Raw Umber,,1903–1990,
,Shadow,#837050[1],1998–present,
,Raw Sienna (I),,1903–circa 1910,
,Timberwolf,#D9D6CF[1],1993–present,
,Gold (I),,1903–1944,Metallic; swatch represents nominal hue only. Available only in bulk after 1915.[2]
,Gold (II),#E6BE8A[1],1953–present,"Metallic; swatch represents nominal hue only. Available only in bulk, 1953–1956.[2]"
,Silver,#C9C0BB[1],1903–present,"Metallic; swatch represents nominal hue only. Available only in bulk, 1915–1944.[2]"
,Copper,#DA8A67[1],"1903–1915, 1958–present",Metallic; swatch represents nominal hue only.[2]
,Antique Brass,#C88A65[1],1998–present,Metallic; swatch represents nominal hue only.[2]
,Black,#000000[1],1903–present,
,Charcoal Gray,,1903–1910,
,Gray,#8B8680[1],,"As ""Middle Grey"", part of the Munsell line, 1926–1944. Spelled ""Grey"" on labels, but ""Gray"" on boxes. Also called ""Neutral Grey"", 1930–1956.[2]"
,Blue-Gray,#C8C8CD[1],1958–1990,
,White,#FFFFFF[1],1903–present,
