Name,Hex (RGB)
宍色,#efab93
櫨色,#b77b57
山鳩色,#767c6b
御召茶,#43676b
梅紫,#aa4c8f
紅梅色,#f2a0a1
黄橡,#b68d4c
利休鼠,#888e7e
湊鼠,#80989b
 菖蒲色,#cc7eb1
薄紅,#f0908d
丁字染,#ad7d4c
海松茶,#5a544b
高麗納戸,#2c4f54
紅藤色,#cca6bf
甚三紅,#ee827c
香染,#ad7d4c
藍海松茶,#56564b
百入茶,#1f3134
浅紫,#c4a3bf
桃色,#f09199
枇杷茶,#ae7c4f
藍媚茶,#555647
錆鼠,#47585c
紫水晶,#e7e7eb
鴇色,#f4b3c2
芝翫茶,#ad7e4e
千歳茶,#494a41
錆鉄御納戸,#485859
薄梅鼠,#dcd6d9
撫子色,#eebbcb
焦香,#ae7c58
岩井茶,#6b6f59
藍鼠,#6c848d
暁鼠,#d3cfd9
灰梅,#e8d3c7
胡桃色,#a86f4c
仙斎茶,#474b42
錆御納戸,#53727d
牡丹鼠,#d3ccd6
灰桜,#e8d3d1
渋紙色,#946243
黒緑,#333631
舛花色,#5b7e91
霞色,#c8c2c6
淡紅藤,#e6cde3
朽葉色,#917347
柳煤竹,#5b6356
熨斗目花色,#426579
藤鼠,#a6a5c4
石竹色,#e5abbe
桑茶,#956f29
樺茶色,#726250
御召御納戸,#4c6473
半色,#a69abd
薄紅梅,#e597b2
路考茶,#8c7042
空五倍子色,#9d896c
鉄御納戸,#455765
薄色,#a89dac
桃花色,#e198b4
国防色,#7b6c3e
生壁色,#94846a
紺鼠,#44617b
薄鼠,#9790a4
水柿,#e4ab9b
伽羅色,#d8a373
肥後煤竹,#897858
藍鉄,#393f4c
鳩羽鼠,#9e8b8e
ときがら茶,#e09e87
江戸茶,#cd8c5c
媚茶,#716246
青褐,#393e4f
鳩羽色,#95859c
退紅,#d69090
樺色,#cd5e3c
白橡,#cbb994
褐返,#203744
桔梗鼠,#95949a
薄柿,#d4acad
紅鬱金,#cb8347
亜麻色,#d6c6af
褐色,#4d4c61
紫鼠,#71686c
長春色,#c97586
土器色,#c37854
榛色,#bfa46f
月白,#eaf4fc
葡萄鼠,#705b67
梅鼠,#c099a0
狐色,#c38743
灰汁色,#9e9478
白菫色,#eaedf7
濃色,#634950
鴇浅葱,#b88884
黄土色,#c39143
利休茶,#a59564
白花色,#e8ecef
紫鳶,#5f414b
梅染,#b48a76
琥珀色,#bf783a
鶯茶,#715c1f
藍白,#ebf6f7
濃鼠,#4f455c
蘇芳香,#a86965
赤茶,#bb5535
木蘭色,#c7b370
白藍,#c1e4e9
藤煤竹,#5a5359
浅蘇芳,#a25768
代赭,#bb5520
砂色,#dcd3b2
水色,#bce2e8
滅紫,#594255
真朱,#ec6d71
煉瓦色,#b55233
油色,#a19361
瓶覗,#a2d7dd
紅消鼠,#524748
赤紫,#eb6ea5
雀茶,#aa4f37
利休色,#8f8667
秘色色,#abced8
似せ紫,#513743
躑躅色,#e95295
団十郎茶,#9f563a
梅幸茶,#887938
空色,#a0d8ef
灰黄緑,#e6eae3
牡丹色,#e7609e
柿渋色,#9f563a
璃寛茶,#6a5d21
勿忘草色,#89c3eb
蕎麦切色,#d4dcd6
今様色,#d0576b
紅鳶,#9a493f
黄海松茶,#918754
青藤色,#84a2d4
薄雲鼠,#d4dcda
中紅,#c85179
灰茶,#98623c
菜種油色,#a69425
白群,#83ccd2
枯野色,#d3cbc6
薔薇色,#e9546b
茶色,#965042
青朽葉,#ada250
浅縹,#84b9cb
潤色,#c8c2be
韓紅,#e95464
檜皮色,#965036
根岸色,#938b4b
薄花色,#698aab
利休白茶,#b3ada0
銀朱,#c85554
鳶色,#95483f
鶸茶,#8c8861
納戸色,#008899
茶鼠,#a99e93
赤紅,#c53d43
柿茶,#954e2a
柳茶,#a1a46d
浅葱色,#00a3af
胡桃染,#a58f86
紅緋,#e83929
弁柄色,#8f2e14
海松色,#726d40
花浅葱,#2a83a2
江戸鼠,#928178
赤,#e60033
赤錆色,#8a3319
鶯色,#928c36
新橋色,#59b9c6
煤色,#887f7a
猩々緋,#e2041b
 褐色,#8a3b00
緑黄色,#dccb18
天色,#2ca9e1
丁子茶,#b4866b
紅,#d7003a
栗梅,#852e19
鶸色,#d7cf3a
露草色,#38a1db
柴染,#b28c6e
深緋,#c9171e
紅檜皮,#7b4741
抹茶色,#c5c56a
青,#0095d9
宗伝唐茶,#a16d5d
緋色,#d3381c
海老茶,#773c30
若草色,#c3d825
薄藍,#0094c8
砺茶,#9f6f55
赤丹,#ce5242
唐茶,#783c1d
黄緑,#b8d200
縹色,#2792c3
煎茶色,#8c6450
紅赤,#d9333f
栗色,#762f07
若芽色,#e0ebaf
紺碧,#007bbb
銀煤竹,#856859
臙脂,#b94047
赤銅色,#752100
若菜色,#d8e698
薄群青,#5383c3
黄枯茶,#765c47
朱・緋,#ba2636
錆色,#6c3524
若苗色,#c7dc68
薄花桜,#5a79ba
煤竹色,#6f514c
茜色,#b7282e
赤褐色,#683f36
青丹,#99ab4e
群青色,#4c6cb3
焦茶,#6f4b3e
紅海老茶,#a73836
茶褐色,#664032
草色,#7b8d42
杜若色,#3e62ad
黒橡,#544a47
蘇芳,#9e3d3f
栗皮茶,#6d3c32
苔色,#69821b
瑠璃色,#1e50a2
憲法色,#543f32
真紅,#a22041
黒茶,#583822
萌黄,#aacf53
薄縹,#507ea4
涅色,#554738
濃紅,#a22041
葡萄茶,#6c2c2f
苗色,#b0ca71
瑠璃紺,#19448e
檳榔子染,#433d3c
象牙色,#f8f4e6
葡萄色,#640125
若葉色,#b9d08b
紺瑠璃,#164a84
黒鳶,#432f2f
練色,#ede4cd
萱草色,#f8b862
松葉色,#839b5c
藍色,#165e83
赤墨,#3f312b
灰白色,#e9e4d4
柑子色,#f6ad49
夏虫色,#cee4ae
青藍,#274a78
黒紅,#302833
蒸栗色,#ebe1a9
金茶,#f39800
鶸萌黄,#82ae46
深縹,#2a4073
白,#ffffff
女郎花,#f2f2b0
蜜柑色,#f08300
柳色,#a8c97f
紺色,#223a70
胡粉色,#fffffc
枯草色,#e4dc8a
鉛丹色,#ec6d51
青白橡,#9ba88d
紺青,#192f60
卯の花色,#f7fcfe
淡黄,#f8e58c
黄丹,#ee7948
柳鼠,#c8d5bb
留紺,#1c305c
白磁,#f8fbf8
白茶,#ddbb99
柿色,#ed6d3d
裏葉柳,#c1d8ac
濃藍,#0f2350
生成り色,#fbfaf5
赤白橡,#d7a98c
黄赤,#ec6800
山葵色,#a8bf93
鉄紺,#17184b
乳白色,#f3f3f3
洗柿,#f2c9ac
人参色,#ec6800
老竹色,#769164
漆黒,#0d0015
白練,#f3f3f2
鳥の子色,#fff1cf
橙色,#ee7800
白緑,#d6e9ca
淡藤色,#bbc8e6
素色,#eae5e3
蜂蜜色,#fddea5
照柿,#eb6238
淡萌黄,#93ca76
藤色,#bbbcde
白梅鼠,#e5e4e6
肌色,#fce2c4
赤橙,#ea5506
柳染,#93b881
紅掛空色,#8491c3
白鼠,#dcdddd
薄卵色,#fde8d0
金赤,#ea5506
薄萌葱,#badcad
紅碧,#8491c3
絹鼠,#dddcd6
雄黄,#f9c89b
朱色,#eb6101
深川鼠,#97a791
紺桔梗,#4d5aaf
灰青,#c0c6c9
洒落柿,#f7bd8f
小麦色,#e49e61
若緑,#98d98e
花色,#4d5aaf
銀鼠,#afafb0
赤香,#f6b894
丹色,#e45e32
浅緑,#88cb7f
紺藍,#4a488e
薄鈍,#adadad
砥粉色,#f4dda5
黄茶,#e17b34
薄緑,#69b076
紅桔梗,#4d4398
薄墨色,#a3a3a2
肉色,#f1bf99
肉桂色,#dd7a56
青鈍,#6b7b6e
桔梗色,#5654a2
錫色,#9ea1a3
人色,#f1bf99
赤朽葉色,#db8449
青磁鼠,#bed2c3
藤納戸,#706caa
素鼠,#9fa0a0
丁子色,#efcd9a
黄櫨染,#d66a35
薄青,#93b69c
紅掛花色,#68699b
鼠色,#949495
香色,#efcd9a
蒲公英色,#ffd900
錆青磁,#a6c8b2
紫苑色,#867ba9
源氏鼠,#888084
薄香,#f0cfa0
黄色,#ffd900
緑青色,#47885e
白藤色,#dbd0e6
灰色,#7d7d7d
浅黄,#edd3a1
中黄,#ffea00
千歳緑,#316745
藤紫,#a59aca
鉛色,#7b7c7d
枯色,#e0c38c
菜の花色,#ffec47
若竹色,#68be8d
菫色,#7058a3
鈍色,#727171
淡香,#f3bf88
黄檗色,#fef263
緑,#3eb370
青紫,#674598
墨,#595857
杏色,#f7b977
卵色,#fcd575
常磐色,#007b43
菖蒲色,#674196
丼鼠,#595455
東雲色,#f19072
花葉色,#fbd26b
千草鼠,#bed3ca
竜胆色,#9079ad
消炭色,#524e4d
曙色,#f19072
刈安色,#f5e56b
千草色,#92b5a9
江戸紫,#745399
藍墨茶,#474a4d
珊瑚朱色,#ee836f
玉蜀黍色,#eec362
青磁色,#7ebea5
本紫,#65318e
羊羹色,#383c3c
深支子,#eb9b6f
金糸雀色,#ebd842
青竹色,#7ebeab
 葡萄色,#522f60
蝋色,#2b2b2b
纁,#e0815e
黄支子色,#ffdb4f
常磐緑,#028760
深紫,#493759
黒,#2b2b2b
浅緋,#df7163
支子色,#fbca4d
木賊色,#3b7960
紫黒,#2e2930
烏羽色,#180614
真赭,#d57c6b
向日葵色,#fcc800
天鵞絨,#2f5d50
紫,#884898
鉄黒,#281a14
洗朱,#d0826c
山吹色,#f8b500
虫襖,#3a5b52
薄葡萄,#c0a2c7
濡羽色,#000b00
遠州茶,#ca8269
鬱金色,#fabf14
革色,#475950
紫紺,#460e44
黒檀,#250d00
紅樺色,#bb5548
藤黄,#f7c114
深緑,#00552e
暗紅色,#74325c
憲法黒茶,#241a08
赭,#ab6953
金色,#e6b422
鉄色,#005243
桑の実色,#55295b
暗黒色,#16160e
さくらいろ,#fef4f4
あずきいろ,#96514d
こがね,#e6b422
もえぎいろ,#006e54
こだいむらさき,#895b8a
うすざくら,#fdeff2
からちゃ,#8d6449
はじぞめ,#d9a62e
はなろくしょう,#00a381
なすこん,#824880
さくらねず,#e9dfe5
あめいろ,#deb068
きくちばいろ,#d3a243
ひすいいろ,#38b48b
ふたあい,#915c8b
ときねず,#e4d2d8
らくだいろ,#bf794e
やまぶきちゃ,#c89932
あおみどり,#00a497
きょうむらさき,#9d5b8b
にじいろ,#f6bfbc
つちいろ,#bc763c
からしいろ,#d0af4c
みずあさぎ,#80aba9
えびぞめ,#7a4171
さんごいろ,#f5b1aa
きがらちゃ,#b98c46
まめがらちゃ,#8b968d
さびあさぎ,#5c9291
わかむらさき,#bc64a4
いっこんぞめ,#f5b199
くわぞめ,#b79b5b
きくじん,#6e7955
せいへき,#478384
べにむらさき,#b44c97
ししいろ,#efab93
はじいろ,#b77b57
やまばといろ,#767c6b
おめしちゃ,#43676b
うめむらさき,#aa4c8f
こうばいいろ,#f2a0a1
きつるばみ,#b68d4c
りきゅうねずみ,#888e7e
みなとねずみ,#80989b
あやめいろ,#cc7eb1
うすべに,#f0908d
ちょうじぞめ,#ad7d4c
みるちゃ,#5a544b
こうらいなんど,#2c4f54
べにふじいろ,#cca6bf
じんざもみ,#ee827c
こうぞめ,#ad7d4c
あいみるちゃ,#56564b
ももしおちゃ,#1f3134
あさむらさき,#c4a3bf
ももいろ,#f09199
びわちゃ,#ae7c4f
あいこびちゃ,#555647
さびねず,#47585c
むらさきすいしょう,#e7e7eb
ときいろ,#f4b3c2
しかんちゃ,#ad7e4e
せんさいちゃ,#494a41
さびてつおなんど,#485859
うすうめねず,#dcd6d9
なでしこいろ,#eebbcb
こがれこう,#ae7c58
いわいちゃ,#6b6f59
あいねず,#6c848d
あかつきねず,#d3cfd9
はいうめ,#e8d3c7
くるみいろ,#a86f4c
せんさいちゃ,#474b42
さびおなんど,#53727d
ぼたんねず,#d3ccd6
はいざくら,#e8d3d1
しぶかみいろ,#946243
くろみどり,#333631
ますはないろ,#5b7e91
かすみいろ,#c8c2c6
あわべにふじ,#e6cde3
くちばいろ,#917347
やなぎすすたけ,#5b6356
のしめはないろ,#426579
ふじねず,#a6a5c4
せきちくいろ,#e5abbe
くわちゃ,#956f29
かばちゃいろ,#726250
おめしおなんど,#4c6473
はしたいろ,#a69abd
うすこうばい,#e597b2
ろこうちゃ,#8c7042
うつぶしいろ,#9d896c
てつおなんど,#455765
うすいろ,#a89dac
ももはないろ,#e198b4
こくぼうしょく,#7b6c3e
なまかべいろ,#94846a
こんねず,#44617b
うすねず,#9790a4
みずがき,#e4ab9b
きゃらいろ,#d8a373
ひごすすたけ,#897858
あいてつ,#393f4c
はとばねずみ,#9e8b8e
ときがらちゃ,#e09e87
えどちゃ,#cd8c5c
こびちゃ,#716246
あおかち,#393e4f
はとばいろ,#95859c
あらぞめ,#d69090
かばいろ,#cd5e3c
しろつるばみ,#cbb994
かちかえし,#203744
ききょうねず,#95949a
うすがき,#d4acad
べにうこん,#cb8347
あまいろ,#d6c6af
かちいろ,#4d4c61
むらさきねず,#71686c
ちょうしゅんいろ,#c97586
かわらけいろ,#c37854
はしばみいろ,#bfa46f
げっぱく,#eaf4fc
ぶどうねずみ,#705b67
うめねず,#c099a0
きつねいろ,#c38743
あくいろ,#9e9478
しろすみれいろ,#eaedf7
こきいろ,#634950
ときあさぎ,#b88884
おうどいろ,#c39143
りきゅうちゃ,#a59564
しらはないろ,#e8ecef
むらさきとび,#5f414b
うめぞめ,#b48a76
こはくいろ,#bf783a
うぐいすちゃ,#715c1f
あいじろ,#ebf6f7
こいねず,#4f455c
すおうこう,#a86965
あかちゃ,#bb5535
もくらんじき,#c7b370
しらあい,#c1e4e9
ふじすすたけ,#5a5359
あさすおう,#a25768
たいしゃ,#bb5520
すないろ,#dcd3b2
みずいろ,#bce2e8
けしむらさき,#594255
まそお,#ec6d71
れんがいろ,#b55233
あぶらいろ,#a19361
かめのぞき,#a2d7dd
べにけしねずみ,#524748
あかむらさき,#eb6ea5
すずめちゃ,#aa4f37
りきゅういろ,#8f8667
ひそくいろ,#abced8
にせむらさき,#513743
つつじいろ,#e95295
だんじゅうろうちゃ,#9f563a
ばいこうちゃ,#887938
そらいろ,#a0d8ef
はいきみどり,#e6eae3
ぼたんいろ,#e7609e
かきしぶいろ,#9f563a
りかんちゃ,#6a5d21
わすれなぐさいろ,#89c3eb
そばきりいろ,#d4dcd6
いまよういろ,#d0576b
べにとび,#9a493f
きみるちゃ,#918754
あおふじいろ,#84a2d4
うすくもねず,#d4dcda
なかべに,#c85179
はいちゃ,#98623c
なたねゆいろ,#a69425
びゃくぐん,#83ccd2
かれのいろ,#d3cbc6
ばらいろ,#e9546b
ちゃいろ,#965042
あおくちば,#ada250
あさはなだ,#84b9cb
うるみいろ,#c8c2be
からくれない,#e95464
ひわだいろ,#965036
ねぎしいろ,#938b4b
うすはないろ,#698aab
りきゅうしろちゃ,#b3ada0
ぎんしゅ,#c85554
とびいろ,#95483f
ひわちゃ,#8c8861
なんどいろ,#008899
ちゃねずみ,#a99e93
あかべに,#c53d43
かきちゃ,#954e2a
やなぎちゃ,#a1a46d
あさぎいろ,#00a3af
くるみぞめ,#a58f86
べにひ,#e83929
べんがらいろ,#8f2e14
みるいろ,#726d40
はなあさぎ,#2a83a2
えどねず,#928178
あか,#e60033
あかさびいろ,#8a3319
うぐいすいろ,#928c36
しんばしいろ,#59b9c6
すすいろ,#887f7a
しょうじょうひ,#e2041b
かっしょく,#8a3b00
りょくおうしょく,#dccb18
あまいろ,#2ca9e1
ちょうじちゃ,#b4866b
くれない,#d7003a
くりうめ,#852e19
ひわいろ,#d7cf3a
つゆくさいろ,#38a1db
ふしぞめ,#b28c6e
こきひ,#c9171e
べにひはだ,#7b4741
まっちゃいろ,#c5c56a
あお,#0095d9
そうでんからちゃ,#a16d5d
ひいろ,#d3381c
えびちゃ,#773c30
わかくさいろ,#c3d825
うすあい,#0094c8
とのちゃ,#9f6f55
あかに,#ce5242
からちゃ,#783c1d
きみどり,#b8d200
はなだいろ,#2792c3
せんちゃいろ,#8c6450
べにあか,#d9333f
くりいろ,#762f07
わかめいろ,#e0ebaf
こんぺき,#007bbb
ぎんすすだけ,#856859
えんじ,#b94047
しゃくどういろ,#752100
わかないろ,#d8e698
うすぐんじょう,#5383c3
きがらちゃ,#765c47
あけ,#ba2636
さびいろ,#6c3524
わかなえいろ,#c7dc68
うすはなざくら,#5a79ba
すすたけいろ,#6f514c
あかねいろ,#b7282e
せっかっしょく,#683f36
あおに,#99ab4e
ぐんじょういろ,#4c6cb3
こげちゃ,#6f4b3e
べにえびちゃ,#a73836
ちゃかっしょく,#664032
くさいろ,#7b8d42
かきつばたいろ,#3e62ad
くろつるばみ,#544a47
すおう,#9e3d3f
くりかわちゃ,#6d3c32
こけいろ,#69821b
るりいろ,#1e50a2
けんぽういろ,#543f32
しんく,#a22041
くろちゃ,#583822
もえぎ,#aacf53
うすはなだ,#507ea4
くりいろ,#554738
こいくれない,#a22041
えびちゃ,#6c2c2f
なえいろ,#b0ca71
るりこん,#19448e
びんろうじぞめ,#433d3c
ぞうげいろ,#f8f4e6
えびいろ,#640125
わかばいろ,#b9d08b
こんるり,#164a84
くろとび,#432f2f
ねりいろ,#ede4cd
かんぞういろ,#f8b862
まつばいろ,#839b5c
あいいろ,#165e83
あかすみ,#3f312b
かいはくしょく,#e9e4d4
こうじいろ,#f6ad49
なつむしいろ,#cee4ae
せいらん,#274a78
くろべに,#302833
むしぐりいろ,#ebe1a9
きんちゃ,#f39800
ひわもえぎ,#82ae46
こきはなだ,#2a4073
しろ,#ffffff
おみなえし,#f2f2b0
みかんいろ,#f08300
やなぎいろ,#a8c97f
こんいろ,#223a70
ごふんいろ,#fffffc
かれくさいろ,#e4dc8a
えんたんいろ,#ec6d51
あおしろつるばみ,#9ba88d
こんじょう,#192f60
うのはないろ,#f7fcfe
たんこう,#f8e58c
おうに,#ee7948
やなぎねず,#c8d5bb
とめこん,#1c305c
はくじ,#f8fbf8
しらちゃ,#ddbb99
かきいろ,#ed6d3d
うらはやなぎ,#c1d8ac
こいあい,#0f2350
きなりいろ,#fbfaf5
あかしろつるばみ,#d7a98c
きあか,#ec6800
わさびいろ,#a8bf93
てつこん,#17184b
にゅうはくしょく,#f3f3f3
あらいがき,#f2c9ac
にんじんいろ,#ec6800
おいたけいろ,#769164
しっこく,#0d0015
しろねり,#f3f3f2
とりのこいろ,#fff1cf
だいだいいろ,#ee7800
びゃくろく,#d6e9ca
あわふじいろ,#bbc8e6
そしょく,#eae5e3
はちみついろ,#fddea5
てりがき,#eb6238
うすもえぎ,#93ca76
ふじいろ,#bbbcde
しらうめねず,#e5e4e6
はだいろ,#fce2c4
あかだいだい,#ea5506
やなぎぞめ,#93b881
べにかけそらいろ,#8491c3
しろねず,#dcdddd
うすたまごいろ,#fde8d0
きんあか,#ea5506
うすもえぎ,#badcad
べにみどり,#8491c3
きぬねず,#dddcd6
ゆうおう,#f9c89b
しゅいろ,#eb6101
ふかがわねずみ,#97a791
こんききょう,#4d5aaf
はいあお,#c0c6c9
しゃれがき,#f7bd8f
こむぎいろ,#e49e61
わかみどり,#98d98e
はないろ,#4d5aaf
ぎんねず,#afafb0
あかこう,#f6b894
にいろ,#e45e32
あさみどり,#88cb7f
こんあい,#4a488e
うすにび,#adadad
とのこいろ,#f4dda5
きちゃ,#e17b34
うすみどり,#69b076
べにききょう,#4d4398
うすずみいろ,#a3a3a2
にくいろ,#f1bf99
にっけいいろ,#dd7a56
あおにび,#6b7b6e
ききょういろ,#5654a2
すずいろ,#9ea1a3
ひといろ,#f1bf99
あかくちばいろ,#db8449
せいじねず,#bed2c3
ふじなんど,#706caa
すねずみ,#9fa0a0
ちょうじいろ,#efcd9a
こうろぜん,#d66a35
うすあお,#93b69c
べにかけはないろ,#68699b
ねずみいろ,#949495
こういろ,#efcd9a
たんぽぽいろ,#ffd900
さびせいじ,#a6c8b2
しおんいろ,#867ba9
げんじねず,#888084
うすこう,#f0cfa0
きいろ,#ffd900
ろくしょういろ,#47885e
しらふじいろ,#dbd0e6
はいいろ,#7d7d7d
うすき,#edd3a1
ちゅうき,#ffea00
ちとせみどり,#316745
ふじむらさき,#a59aca
なまりいろ,#7b7c7d
かれいろ,#e0c38c
なのはないろ,#ffec47
わかたけいろ,#68be8d
すみれいろ,#7058a3
にびいろ,#727171
うすこう,#f3bf88
きはだいろ,#fef263
みどり,#3eb370
あおむらさき,#674598
すみ,#595857
あんずいろ,#f7b977
たまごいろ,#fcd575
ときわいろ,#007b43
しょうぶいろ,#674196
どぶねずみ,#595455
しののめいろ,#f19072
はなばいろ,#fbd26b
ちぐさねず,#bed3ca
りんどういろ,#9079ad
けしずみいろ,#524e4d
あけぼのいろ,#f19072
かりやすいろ,#f5e56b
ちぐさいろ,#92b5a9
えどむらさき,#745399
あいすみちゃ,#474a4d
さんごしゅいろ,#ee836f
とうもろこしいろ,#eec362
せいじいろ,#7ebea5
ほんむらさき,#65318e
ようかんいろ,#383c3c
こきくちなし,#eb9b6f
かなりあいろ,#ebd842
あおたけいろ,#7ebeab
ぶどういろ,#522f60
ろういろ,#2b2b2b
そひ,#e0815e
きくちなしいろ,#ffdb4f
ときわみどり,#028760
ふかむらさき,#493759
くろ,#2b2b2b
うすきひ,#df7163
くちなしいろ,#fbca4d
とくさいろ,#3b7960
しこく,#2e2930
からすばいろ,#180614
まそほ,#d57c6b
ひまわりいろ,#fcc800
びろうど,#2f5d50
むらさき,#884898
てつぐろ,#281a14
あらいしゅ,#d0826c
やまぶきいろ,#f8b500
むしあお,#3a5b52
うすぶどう,#c0a2c7
ぬればいろ,#000b00
えんしゅうちゃ,#ca8269
うこんいろ,#fabf14
かわいろ,#475950
しこん,#460e44
こくたん,#250d00
べにかばいろ,#bb5548
とうおう,#f7c114
ふかみどり,#00552e
あんこうしょく,#74325c
けんぽうくろちゃ,#241a08
そほ,#ab6953
こんじき,#e6b422
てついろ,#005243
くわのみいろ,#55295b
あんこくしょく,#16160e
コーラルレッド,#ef857d
サンシャインイエロー,#ffedab
アイスグリーン,#a3d6cc
ウイスタリア,#8d93c8
ピンクアーモンド,#e3acae
ポピーレッド,#ea5550
クリームイエロー,#fff3b8
ターコイズグリーン,#00947a
ブルーラベンダー,#a4a8d4
ローズダスト,#e6c0c0
レッド,#ea5550
ネープルスイエロー,#fdd35c
シーグリーン,#00ac97
パンジー,#4d4398
ホワイト,#ffffff
トマトレッド,#ea5549
トパーズ,#e9bc00
ペパーミントグリーン,#00ac9a
バイオレット,#5a4498
スノーホワイト,#fafdff
バーミリオン,#ea553a
クロムイエロー,#fcc800
ピーコックグリーン,#00a497
ヘリオトロープ,#9079b6
ピンクホワイト,#fef9fb
スカーレット,#ea5532
クリーム,#e3d7a3
ナイルブルー,#2cb4ad
ディープロイヤルパープル,#47266e
ミルキーホワイト,#fffff9
キャロットオレンジ,#ed6d35
ストロー,#ece093
サックスブルー,#418b89
グレープ,#56256e
アンバーホワイト,#fff9f5
チャイニーズレッド,#ed6d46
ジャスミンイエロー,#edde7b
スレートグリーン,#3c7170
モーブ,#915da3
ラベンダーアイス,#f7f6fb
テラコッタ,#bd6856
アンティックゴールド,#c1ab05
テールグリーン,#006a6c
アイリス,#c7a5cc
パールホワイト,#f7f6f5
ココアブラウン,#98605e
オリーブ,#72640c
アクアグリーン,#88bfbf
ライラック,#d1bada
アイボリー,#f8f4e6
マホガニー,#6b3f31
オリーブドラブ,#665a1a
アクアマリン,#67b5b7
ラベンダー,#cab8d9
パウダーピンク,#f5ecf4
チョコレート,#6c3524
ジョンブリアン,#ffdc00
ピーコックブルー,#009e9f
クロッカス,#b79fcb
シルバーホワイト,#efefef
マルーン,#6a1917
イエロー,#ffdc00
